Species,Official gene symbol,UI,Sensitivity (human),Sensitivity (mouse),Specificity (human),Specificity (mouse),Cell type,Germ layer,Organ,Aliases,Product description,Disease,Action
Mm Hs,CHRM3,0.002,0.0,0.0,0.0,0.002,Gastric chief cells,Endoderm,GI tract,,cholinergic receptor muscarinic 3,Y,flag
Mm Hs,ANPEP,0.015,0.0,0.0,0.013,0.017,Gastric chief cells,Endoderm,GI tract,"gp150,CD13,PEPN","alanyl aminopeptidase, membrane",,flag
Mm Hs,BHLHA15,0.0,0.0,0.0,0.0,0.001,Gastric chief cells,Endoderm,GI tract,"MIST1,bHLHa15,BHLHB8",basic helix-loop-helix family member a15,,flag
Mm Hs,GTSF1,0.022,0.938,0.945,0.004,0.002,Germ cells,Mesoderm,Reproductive,"FLJ32942,FAM112B",gametocyte specific factor 1,,flag
Mm Hs,PPP3R2,0.011,0.365,0.884,0.0,0.0,Germ cells,Mesoderm,Reproductive,PPP3RL,"protein phosphatase 3 regulatory subunit B, beta",,flag
Mm Hs,TPPP2,0.009,0.45,0.0,0.001,0.0,Germ cells,Mesoderm,Reproductive,"p25beta,CT152,C14orf8",tubulin polymerization promoting protein family member 2,,flag
Mm,GSTT4,0.005,0.0,0.628,0.0,0.0,Germ cells,Mesoderm,Reproductive,"HS322B1A,GSTTP1",glutathione S-transferase theta 4,,flag
Mm Hs,LELP1,0.011,0.555,0.5,0.003,0.0,Germ cells,Mesoderm,Reproductive,,late cornified envelope like proline rich 1,,flag
Mm,NUPR1L,0.006,0.0,0.762,0.0,0.0,Germ cells,Mesoderm,Reproductive,,nuclear protein transcriptional regulator 1 like,,flag
Mm Hs,SPERT,0.008,0.289,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"NURIT,CBY2",spermatid associated,,flag
Mm,CMTM2B,0.007,0.0,0.89,0.0,0.0,Germ cells,Mesoderm,Reproductive,,CKLF-like MARVEL transmembrane domain containing 2B,,flag
Mm Hs,CATSPERZ,0.008,0.0,0.884,0.0,0.0,Germ cells,Mesoderm,Reproductive,"DKFZP566E164,C11orf20,TEX40",catsper channel auxiliary subunit zeta,,flag
Mm Hs,MAEL,0.019,0.825,0.957,0.002,0.002,Germ cells,Mesoderm,Reproductive,"FLJ14904,CT128,SPATA35",maelstrom spermatogenic transposon silencer,,flag
Mm Hs,PGAM2,0.012,0.0,0.902,0.0,0.006,Germ cells,Mesoderm,Reproductive,PGAM-M,phosphoglycerate mutase 2,Y,flag
Mm Hs,TMEM53,0.012,0.322,0.0,0.002,0.0,Germ cells,Mesoderm,Reproductive,"FLJ22353,NET4",transmembrane protein 53,,flag
Mm Hs,ACTRT2,0.009,0.408,0.518,0.0,0.0,Germ cells,Mesoderm,Reproductive,"Arp-T2,ARPM2,FLJ25424",actin related protein T2,,flag
Mm Hs,ROPN1,0.011,0.436,0.0,0.001,0.0,Germ cells,Mesoderm,Reproductive,"ODF6,ropporin,ROPN1A,CT91",rhophilin associated tail protein 1,,flag
Mm Hs,RNF151,0.01,0.346,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,,ring finger protein 151,,flag
Mm Hs,IQCF3,0.009,0.303,0.671,0.0,0.0,Germ cells,Mesoderm,Reproductive,,IQ motif containing F3,,flag
Mm Hs,CABS1,0.008,0.341,0.573,0.0,0.0,Germ cells,Mesoderm,Reproductive,"NYD-SP26,FLJ32897,CLPH,C4orf35","calcium binding protein, spermatid associated 1",,flag
Mm Hs,CCDC91,0.02,0.583,0.579,0.015,0.006,Germ cells,Mesoderm,Reproductive,"FLJ11088,DKFZp779L1558",coiled-coil domain containing 91,,flag
Mm Hs,SPATA3,0.009,0.289,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,TSARG1,spermatogenesis associated 3,,flag
Mm Hs,LRRC46,0.011,0.251,0.817,0.002,0.002,Germ cells,Mesoderm,Reproductive,MGC16309,leucine rich repeat containing 46,,flag
Mm Hs,PDCL2,0.011,0.346,0.902,0.0,0.0,Germ cells,Mesoderm,Reproductive,GCPHLP,phosducin like 2,,flag
Mm Hs,H1FNT,0.009,0.408,0.598,0.0,0.0,Germ cells,Mesoderm,Reproductive,"HANP1,H1T2","H1 histone family member N, testis specific",,flag
Mm Hs,TSSK6,0.008,0.303,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"SSTK,FLJ24002,CT72",testis specific serine kinase 6,,flag
Mm Hs,COX8C,0.016,0.787,0.927,0.001,0.0,Germ cells,Mesoderm,Reproductive,COX8-3,cytochrome c oxidase subunit 8C,,flag
Mm Hs,CETN1,0.012,0.436,0.902,0.0,0.0,Germ cells,Mesoderm,Reproductive,"CEN1,CETN",centrin 1,,flag
Mm Hs,SPATA19,0.01,0.318,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"FLJ25851,spergen1,SPAS1,CT132",spermatogenesis associated 19,,flag
Mm Hs,TSSK2,0.006,,,,,Germ cells,Mesoderm,Reproductive,"SPOGA2,FLJ38613,STK22B",testis specific serine kinase 2,,flag
Mm Hs,ZNRF4,0.01,0.284,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"spzn,Ssrzf1,RNF204",zinc and ring finger 4,,flag
Mm,CYPT4,0.006,0.0,0.78,0.0,0.0,Germ cells,Mesoderm,Reproductive,,cysteine-rich perinuclear theca 4,,flag
Mm Hs,SPATA24,0.018,0.441,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"T6441,CCDC161",spermatogenesis associated 24,,flag
Mm Hs,SPATA4,0.012,0.455,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"TSARG2,SPEF1B",spermatogenesis associated 4,,flag
Mm Hs,FAM71E1,0.012,0.502,0.793,0.001,0.0,Germ cells,Mesoderm,Reproductive,,family with sequence similarity 71 member E1,,flag
Mm Hs,FAM229A,0.012,0.45,0.817,0.001,0.0,Germ cells,Mesoderm,Reproductive,,family with sequence similarity 229 member A,,flag
Mm,CYPT12,0.007,0.0,0.799,0.0,0.0,Germ cells,Mesoderm,Reproductive,,cysteine-rich perinuclear theca 12,,flag
Mm Hs,HILS1,0.008,0.147,0.787,0.0,0.0,Germ cells,Mesoderm,Reproductive,,"histone linker H1 domain, spermatid-specific 1 (pseudogene)",,flag
Mm Hs,HRASLS5,0.011,0.346,0.921,0.0,0.0,Germ cells,Mesoderm,Reproductive,HRLP5,HRAS like suppressor family member 5,,flag
Mm Hs,GAPDHS,0.006,0.0,0.726,0.0,0.0,Germ cells,Mesoderm,Reproductive,"GAPDH-2,GAPD2,GAPDS","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",,flag
Mm,FHL4,0.008,0.0,0.915,0.0,0.0,Germ cells,Mesoderm,Reproductive,,four and a half LIM domains 4,,flag
Mm Hs,HSPB9,0.011,0.284,0.921,0.0,0.0,Germ cells,Mesoderm,Reproductive,CT51,heat shock protein family B (small) member 9,,flag
Mm Hs,SPATA33,0.023,0.877,0.0,0.013,0.0,Germ cells,Mesoderm,Reproductive,"FLJ31606,C16orf55",spermatogenesis associated 33,,flag
Mm Hs,SPZ1,0.009,0.204,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"NYD-TSP1,FLJ25709,PPP1R148",spermatogenic leucine zipper 1,,flag
Mm,IRGC1,0.006,0.0,0.762,0.0,0.0,Germ cells,Mesoderm,Reproductive,,"immunity-related GTPase family, cinema 1",,flag
Mm Hs,PRM3,0.01,0.308,0.799,0.0,0.0,Germ cells,Mesoderm,Reproductive,,protamine 3,,flag
Mm Hs,RBAKDN,0.008,0.0,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,,RBAK downstream neighbor,,flag
Mm Hs,DNAJB3,0.011,0.213,0.927,0.0,0.001,Germ cells,Mesoderm,Reproductive,HCG3,DnaJ heat shock protein family (Hsp40) member B3,,flag
Mm Hs,HMGB4,0.015,0.64,0.787,0.009,0.0,Germ cells,Mesoderm,Reproductive,FLJ40388,high mobility group box 4,,flag
Mm Hs,ROPN1L,0.018,0.72,0.0,0.008,0.0,Germ cells,Mesoderm,Reproductive,"FLJ25776,RSPH11",rhophilin associated tail protein 1 like,,flag
Mm Hs,GSG1,0.014,0.46,0.86,0.0,0.002,Germ cells,Mesoderm,Reproductive,MGC3146,germ cell associated 1,,flag
Mm,DBIL5,0.008,0.0,0.921,0.0,0.0,Germ cells,Mesoderm,Reproductive,,diazepam binding inhibitor-like 5,,flag
Mm Hs,TNP1,0.018,0.73,0.0,0.023,0.0,Germ cells,Mesoderm,Reproductive,,transition protein 1,,flag
Mm Hs,SMCP,0.013,0.536,0.0,0.004,0.0,Germ cells,Mesoderm,Reproductive,,sperm mitochondria associated cysteine rich protein,,flag
Mm Hs,LDHC,0.014,0.555,0.939,0.002,0.0,Germ cells,Mesoderm,Reproductive,CT32,lactate dehydrogenase C,,flag
Mm Hs,PRM2,0.022,0.834,0.866,0.036,0.0,Germ cells,Mesoderm,Reproductive,CT94.2,protamine 2,,flag
Mm Hs,DNAAF1,0.009,0.19,0.762,0.002,0.0,Germ cells,Mesoderm,Reproductive,"FLJ25330,ODA7,CILD13,swt,LRRC50",dynein axonemal assembly factor 1,Y,flag
Mm Hs,ACYP1,0.051,0.166,0.744,0.036,0.043,Germ cells,Mesoderm,Reproductive,,acylphosphatase 1,,flag
Mm Hs,SORD,0.033,0.0,0.0,0.011,0.0,Germ cells,Mesoderm,Reproductive,,sorbitol dehydrogenase,,flag
Mm Hs,DKKL1,0.019,0.531,0.909,0.0,0.007,Germ cells,Mesoderm,Reproductive,"SGY-1,CT34",dickkopf like acrosomal protein 1,,flag
Mm Hs,RSPH1,0.021,0.194,0.0,0.004,0.0,Germ cells,Mesoderm,Reproductive,"FLJ32753,RSP44,RSPH10A,CILD24,TSGA2",radial spoke head component 1,Y,flag
Mm Hs,COX6B2,0.038,0.09,0.854,0.0,0.035,Germ cells,Mesoderm,Reproductive,"COXVIB2,FLJ32865,CT59",cytochrome c oxidase subunit 6B2,,flag
Mm Hs,MLF1,0.042,0.995,0.945,0.03,0.02,Germ cells,Mesoderm,Reproductive,,myeloid leukemia factor 1,Y,flag
Mm Hs,SMIM24,0.037,0.0,0.0,0.038,0.0,Germ cells,Mesoderm,Reproductive,"HSPC323,C19orf77",small integral membrane protein 24,,flag
Mm Hs,SPA17,0.02,0.483,0.0,0.001,0.0,Germ cells,Mesoderm,Reproductive,CT22,sperm autoantigenic protein 17,,flag
Mm Hs,MEIG1,0.018,0.213,0.939,0.0,0.01,Germ cells,Mesoderm,Reproductive,"bA2K17.3,SPATA39",meiosis/spermiogenesis associated 1,,flag
Mm Hs,ZMYND19,0.012,0.227,0.0,0.006,0.0,Germ cells,Mesoderm,Reproductive,MIZIP,zinc finger MYND-type containing 19,,flag
Mm Hs,MDN1,0.018,0.066,0.091,0.013,0.018,Germ cells,Mesoderm,Reproductive,"KIAA0301,Rea1",midasin AAA ATPase 1,,flag
Mm Hs,PIWIL2,0.005,0.284,0.116,0.001,0.001,Germ cells,Mesoderm,Reproductive,"HILI,FLJ10351,Mili,CT80",piwi like RNA-mediated gene silencing 2,,flag
Mm,CYCT,0.006,0.0,0.354,0.0,0.003,Germ cells,Mesoderm,Reproductive,,"cytochrome c, testis",,flag
Mm Hs,NR6A1,0.017,0.602,0.116,0.033,0.003,Germ cells,Mesoderm,Reproductive,"GCNF1,RTR,CT150,GCNF",nuclear receptor subfamily 6 group A member 1,,flag
Mm Hs,RSBN1L,0.026,0.602,0.0,0.081,0.0,Germ cells,Mesoderm,Reproductive,"FLJ42526,FLJ45813,MGC71764",round spermatid basic protein 1 like,,flag
Mm Hs,DYNLT1,0.083,0.692,0.134,0.328,0.015,Germ cells,Mesoderm,Reproductive,TCTEL1,dynein light chain Tctex-type 1,,flag
Mm Hs,PARN,0.009,0.284,0.024,0.012,0.004,Germ cells,Mesoderm,Reproductive,,poly(A)-specific ribonuclease,Y,flag
Mm Hs,FKBP6,0.008,0.256,0.195,0.0,0.005,Germ cells,Mesoderm,Reproductive,FKBP36,FK506 binding protein 6,,flag
Mm Hs,TAF7L,0.003,0.043,0.0,0.002,0.0,Germ cells,Mesoderm,Reproductive,"CT40,TAF2Q",TATA-box binding protein associated factor 7 like,,flag
Mm,TEX19.1,0.007,,,,,Germ cells,Mesoderm,Reproductive,,testis expressed gene 19.1,,flag
Mm Hs,SYCP1,0.008,0.379,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"HOM-TES-14,CT8",synaptonemal complex protein 1,,flag
Mm Hs,SOHLH1,0.005,0.275,0.0,0.001,0.0,Germ cells,Mesoderm,Reproductive,"NOHLH,TEB2,bA100C15.3,bHLHe80,SPATA27,C9orf157",spermatogenesis and oogenesis specific basic helix-loop-helix 1,,flag
Mm Hs,SLC25A31,0.006,0.289,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"DKFZP434N1235,ANT4",solute carrier family 25 member 31,,flag
Mm Hs,PHF13,0.008,0.133,0.171,0.0,0.006,Germ cells,Mesoderm,Reproductive,MGC43399,PHD finger protein 13,,flag
Mm Hs,EGR4,0.004,0.081,0.061,0.001,0.003,Germ cells,Mesoderm,Reproductive,"NGFI-C,PAT133",early growth response 4,,flag
Mm Hs,SMC1B,0.011,0.479,0.0,0.001,0.0,Germ cells,Mesoderm,Reproductive,"bK268H5,SMC1L2",structural maintenance of chromosomes 1B,,flag
Mm Hs,TEX15,0.007,0.284,0.0,0.001,0.0,Germ cells,Mesoderm,Reproductive,CT42,"testis expressed 15, meiosis and synapsis associated",Y,flag
Mm Hs,MOV10L1,0.006,0.28,0.14,0.0,0.002,Germ cells,Mesoderm,Reproductive,"DJ402G11.8,DKFZp434B0717",Mov10 like RISC complex RNA helicase 1,,flag
Mm,TRAP1A,0.011,,,,,Germ cells,Mesoderm,Reproductive,,tumor rejection antigen P1A,,flag
Mm Hs,WDR5,0.024,0.45,0.0,0.016,0.0,Germ cells,Mesoderm,Reproductive,"SWD3,CFAP89",WD repeat domain 5,,flag
Mm Hs,DMRT1,0.005,0.227,0.067,0.002,0.003,Germ cells,Mesoderm,Reproductive,CT154,doublesex and mab-3 related transcription factor 1,,flag
Mm Hs,STRA8,0.002,0.0,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,,stimulated by retinoic acid 8,,flag
Mm Hs,MKI67,0.083,0.024,0.018,0.081,0.082,Germ cells,Mesoderm,Reproductive,"MIB-,PPP1R105",marker of proliferation Ki-67,,flag
Mm Hs,CHEK1,0.01,0.123,0.006,0.027,0.004,Germ cells,Mesoderm,Reproductive,CHK1,checkpoint kinase 1,,flag
Mm Hs,BRCA1,0.007,0.18,0.0,0.019,0.001,Germ cells,Mesoderm,Reproductive,"RNF53,PPP1R53,FANCS","BRCA1, DNA repair associated",Y,flag
Mm Hs,DMC1,0.001,0.085,0.012,0.0,0.0,Germ cells,Mesoderm,Reproductive,LIM15,DNA meiotic recombinase 1,,flag
Mm Hs,MRPL14,0.259,0.64,0.098,0.249,0.25,Germ cells,Mesoderm,Reproductive,RPML32,mitochondrial ribosomal protein L14,,flag
Mm Hs,MLH3,0.001,0.038,0.043,0.0,0.0,Germ cells,Mesoderm,Reproductive,,mutL homolog 3,Y,flag
Mm Hs,SPAG6,0.011,0.308,0.0,0.002,0.0,Germ cells,Mesoderm,Reproductive,"Repro-SA-1,pf16,CT141",sperm associated antigen 6,,flag
Mm Hs,ZPBP2,0.008,0.436,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"ZPBPL,MGC41930",zona pellucida binding protein 2,,flag
Mm Hs,DNAH6,0.005,0.142,0.055,0.001,0.003,Germ cells,Mesoderm,Reproductive,"Dnahc6,FLJ37357,DNHL1",dynein axonemal heavy chain 6,,flag
Mm Hs,CAMK4,0.027,0.246,0.11,0.017,0.025,Germ cells,Mesoderm,Reproductive,CaMK-GR,calcium/calmodulin dependent protein kinase IV,,flag
Mm Hs,CREM,0.065,0.872,0.488,0.108,0.038,Germ cells,Mesoderm,Reproductive,hCREM-2,cAMP responsive element modulator,,flag
Mm Hs,MYO1D,0.01,0.185,0.0,0.006,0.009,Germ cells,Mesoderm,Reproductive,"KIAA0727,myr4,PPP1R108",myosin ID,,flag
Mm Hs,HOOK1,0.035,0.313,0.457,0.007,0.033,Germ cells,Mesoderm,Reproductive,,hook microtubule tethering protein 1,,flag
Hs,SPATA12,0.003,0.242,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,,spermatogenesis associated 12,,flag
Mm Hs,EGFR,0.014,0.0,0.0,0.024,0.013,Germ cells,Mesoderm,Reproductive,"ERBB1,ERBB",epidermal growth factor receptor,Y,flag
Mm Hs,POU5F1,0.003,0.0,0.0,0.001,0.003,Germ cells,Mesoderm,Reproductive,"Oct4,MGC22487,OTF3",POU class 5 homeobox 1,,flag
Mm Hs,TFAP2C,0.012,0.0,0.0,0.007,0.0,Germ cells,Mesoderm,Reproductive,"AP2-GAMMA,TFAP2G,hAP-2g",transcription factor AP-2 gamma,,flag
Mm Hs,DAZL,0.01,0.498,0.183,0.0,0.003,Germ cells,Mesoderm,Reproductive,"DAZH,SPGYLA,MGC26406,DAZL1,DAZLA",deleted in azoospermia like,,flag
Mm Hs,MAGEA4,0.006,0.336,0.0,0.001,0.0,Germ cells,Mesoderm,Reproductive,"MAGE4A,MAGE4B,MAGE-41,MAGE-X2,MGC21336,CT1.4,MAGE4",MAGE family member A4,,flag
Mm Hs,DDX4,0.013,0.739,0.427,0.001,0.002,Germ cells,Mesoderm,Reproductive,VASA,DEAD-box helicase 4,,flag
Mm Hs,ZAR1,0.0,0.0,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,Z3CXXC6,zygote arrest 1,,flag
Hs,TESMIN,0.004,0.313,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"CXCDC2,MTL5",testis expressed metallothionein like protein,,flag
Mm Hs,TEX101,0.005,0.152,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"MGC4766,SGRG,CT131,SPATA44",testis expressed 101,,flag
Hs,GCNA,0.0,0.028,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"NAAR1,ACRC",germ cell nuclear acidic peptidase,,flag
Mm Hs,PRM1,0.022,0.853,0.841,0.04,0.0,Germ cells,Mesoderm,Reproductive,CT94.1,protamine 1,,flag
Mm Hs,TNP2,0.008,0.114,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,,transition protein 2,,flag
Mm Hs,FABP9,0.008,0.0,0.933,0.0,0.0,Germ cells,Mesoderm,Reproductive,"PERF,T-FABP,PERF15",fatty acid binding protein 9,,flag
Mm Hs,ODF2,0.028,0.754,0.927,0.002,0.015,Germ cells,Mesoderm,Reproductive,"ODF84,CT134",outer dense fiber of sperm tails 2,,flag
Mm Hs,CRISP2,0.016,0.654,0.933,0.007,0.0,Germ cells,Mesoderm,Reproductive,"CRISP-2,CT36,GAPDL5,TPX1",cysteine rich secretory protein 2,,flag
Mm Hs,TCP11,0.015,0.611,0.0,0.001,0.0,Germ cells,Mesoderm,Reproductive,FPPR,t-complex 11,,flag
Mm Hs,GGNBP1,0.008,0.033,0.872,0.0,0.001,Germ cells,Mesoderm,Reproductive,,gametogenetin binding protein 1 (pseudogene),,flag
Mm Hs,PHF7,0.018,0.81,0.817,0.009,0.001,Germ cells,Mesoderm,Reproductive,"NYD-SP6,HSPC226",PHD finger protein 7,,flag
Mm Hs,CREB5,0.026,0.0,0.0,0.015,0.029,Germ cells,Mesoderm,Reproductive,"H_GS165L15.1,CRE-BPA",cAMP responsive element binding protein 5,,flag
Mm,CETN4,0.01,0.0,0.744,0.0,0.005,Germ cells,Mesoderm,Reproductive,,centrin 4,,flag
Mm Hs,SLFNL1,0.003,0.0,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,FLJ23878,schlafen like 1,,flag
Mm Hs,COX7B2,0.013,0.445,0.787,0.0,0.002,Germ cells,Mesoderm,Reproductive,,cytochrome c oxidase subunit 7B2,,flag
Mm Hs,KIF2B,0.006,0.242,0.366,0.0,0.0,Germ cells,Mesoderm,Reproductive,,kinesin family member 2B,,flag
Mm Hs,CCDC30,0.01,0.137,0.689,0.001,0.003,Germ cells,Mesoderm,Reproductive,"FLJ20972,PFD6L,LOC728621",coiled-coil domain containing 30,,flag
Mm Hs,LRRC57,0.005,0.0,0.287,0.002,0.003,Germ cells,Mesoderm,Reproductive,FLJ36812,leucine rich repeat containing 57,,flag
Mm,FAM209,0.004,0.0,0.433,0.0,0.0,Germ cells,Mesoderm,Reproductive,,family with sequence similarity 209,,flag
Mm Hs,BCL2L14,0.009,0.28,0.402,0.001,0.003,Germ cells,Mesoderm,Reproductive,"BCLG,BCL-G",BCL2 like 14,,flag
Mm Hs,AQP11,0.018,0.171,0.768,0.0,0.012,Germ cells,Mesoderm,Reproductive,,aquaporin 11,,flag
Mm,ADAM3,0.006,0.0,0.665,0.0,0.0,Germ cells,Mesoderm,Reproductive,,a disintegrin and metallopeptidase domain 3 (cyritestin),,flag
Mm Hs,TEX35,0.006,0.289,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"DKFZP564J047,TSC24,C1orf49",testis expressed 35,,flag
Mm Hs,SPINK2,0.024,0.929,0.0,0.038,0.0,Germ cells,Mesoderm,Reproductive,HUSI-II,"serine peptidase inhibitor, Kazal type 2",,flag
Mm Hs,TSSK3,0.005,0.152,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"SPOGA3,STK22C",testis specific serine kinase 3,,flag
,GSG2,0.006,0.0,0.64,0.0,0.001,Germ cells,Mesoderm,Reproductive,,,,flag
Mm Hs,CREB3L4,0.004,0.0,0.396,0.002,0.001,Germ cells,Mesoderm,Reproductive,"AIbZIP,CREB4,CREB3,hJAL,ATCE1",cAMP responsive element binding protein 3 like 4,,flag
Mm Hs,TSACC,0.018,0.858,0.0,0.012,0.0,Germ cells,Mesoderm,Reproductive,"SSTK-IP,C1orf182",TSSK6 activating cochaperone,,flag
Mm Hs,SPATA46,0.006,0.218,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,C1orf111,spermatogenesis associated 46,,flag
Mm,TSGA8,0.004,,,,,Germ cells,Mesoderm,Reproductive,,testis specific gene A8,,flag
Mm Hs,TEKT1,0.015,0.223,0.0,0.002,0.0,Germ cells,Mesoderm,Reproductive,,tektin 1,,flag
Mm Hs,MORN5,0.014,0.408,0.793,0.002,0.004,Germ cells,Mesoderm,Reproductive,"FLJ46909,C9orf113,C9orf18",MORN repeat containing 5,,flag
Mm,TMCO5,0.004,,,,,Germ cells,Mesoderm,Reproductive,,transmembrane and coiled-coil domains 5,,flag
Mm Hs,OTUB2,0.006,0.213,0.421,0.0,0.001,Germ cells,Mesoderm,Reproductive,"FLJ21916,MGC3102,C14orf137","OTU deubiquitinase, ubiquitin aldehyde binding 2",,flag
Mm,TSSK1,0.004,,,,,Germ cells,Mesoderm,Reproductive,,testis-specific serine kinase 1,,flag
Mm Hs,TSKS,0.007,0.313,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"TSSKS,PPP1R161",testis specific serine kinase substrate,,flag
Mm,PRDX6B,0.007,0.0,0.78,0.0,0.0,Germ cells,Mesoderm,Reproductive,,peroxiredoxin 6B,,flag
Mm Hs,H2AFB1,0.003,0.005,0.409,0.0,0.0,Germ cells,Mesoderm,Reproductive,,H2A histone family member B1,,flag
Mm Hs,ATL3,0.016,0.365,0.415,0.018,0.006,Germ cells,Mesoderm,Reproductive,DKFZP564J0863,atlastin GTPase 3,Y,flag
Mm Hs,DMRTB1,0.013,0.408,0.848,0.0,0.001,Germ cells,Mesoderm,Reproductive,,DMRT like family B with proline rich C-terminal 1,,flag
Mm,WBSCR25,0.003,,,,,Germ cells,Mesoderm,Reproductive,,Williams Beuren syndrome chromosome region 25 (human),,flag
Mm Hs,TMCO2,0.008,0.365,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,dJ39G22.2,transmembrane and coiled-coil domains 2,,flag
Mm,TUBA3A,0.009,,,,,Germ cells,Mesoderm,Reproductive,,"tubulin, alpha 3A",,flag
Mm Hs,FHL5,0.006,0.322,0.348,0.0,0.0,Germ cells,Mesoderm,Reproductive,"FLJ33049,dJ393D12.2",four and a half LIM domains 5,,flag
Mm Hs,MS4A5,0.008,0.303,0.598,0.0,0.0,Germ cells,Mesoderm,Reproductive,CD20L2,membrane spanning 4-domains A5,,flag
Mm Hs,CST8,0.006,0.076,0.439,0.0,0.003,Germ cells,Mesoderm,Reproductive,"CRES,CTES5",cystatin 8,,flag
Mm Hs,TMEM247,0.007,,,,,Germ cells,Mesoderm,Reproductive,,transmembrane protein 247,,flag
Mm Hs,GALNTL5,0.006,0.256,0.451,0.0,0.0,Germ cells,Mesoderm,Reproductive,,polypeptide N-acetylgalactosaminyltransferase like 5,,flag
Mm Hs,OSBP2,0.01,0.237,0.427,0.005,0.004,Germ cells,Mesoderm,Reproductive,"KIAA1664,ORP-4,ORP4,OSBPL1",oxysterol binding protein 2,,flag
Mm Hs,MARCH11,0.012,0.199,0.732,0.0,0.004,Germ cells,Mesoderm,Reproductive,"MARCH-XI,RNF226",membrane associated ring-CH-type finger 11,,flag
Mm Hs,TEX33,0.008,0.265,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"MGC35206,EAN57,C22orf33",testis expressed 33,,flag
Mm Hs,SPATA20,0.01,0.332,0.0,0.011,0.0,Germ cells,Mesoderm,Reproductive,"FLJ21347,SSP411,Tisp78",spermatogenesis associated 20,,flag
Mm,TUBA3B,0.009,,,,,Germ cells,Mesoderm,Reproductive,,"tubulin, alpha 3B",,flag
Mm Hs,CDRT4,0.004,0.014,0.415,0.0,0.0,Germ cells,Mesoderm,Reproductive,FLJ36674,CMT1A duplicated region transcript 4,,flag
Mm Hs,SPATA18,0.008,0.332,0.0,0.001,0.0,Germ cells,Mesoderm,Reproductive,FLJ32906,spermatogenesis associated 18,,flag
Mm Hs,LRRC18,0.007,0.142,0.616,0.0,0.0,Germ cells,Mesoderm,Reproductive,"UNQ933,MGC34773,UNQ9338,VKGE9338",leucine rich repeat containing 18,,flag
Mm Hs,SCP2D1,0.006,0.18,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"dJ1068E13.2,HSD22,C20orf79",SCP2 sterol binding domain containing 1,,flag
Mm Hs,IQCF1,0.008,0.313,0.488,0.0,0.0,Germ cells,Mesoderm,Reproductive,MGC39725,IQ motif containing F1,,flag
Mm Hs,PGK2,0.012,0.502,0.787,0.0,0.0,Germ cells,Mesoderm,Reproductive,"PGKPS,PGK-2",phosphoglycerate kinase 2,,flag
Mm Hs,TULP2,0.008,0.194,0.0,0.0,0.0,Germ cells,Mesoderm,Reproductive,"TUBL2,CT65",tubby like protein 2,,flag
Mm,CMTM2A,0.007,0.0,0.872,0.0,0.0,Germ cells,Mesoderm,Reproductive,,CKLF-like MARVEL transmembrane domain containing 2A,,flag
Mm Hs,CCDC54,0.008,0.37,0.53,0.0,0.0,Germ cells,Mesoderm,Reproductive,"NYD-SP17,FLJ25362",coiled-coil domain containing 54,,flag
Mm Hs,AKAP4,0.008,0.318,0.561,0.0,0.0,Germ cells,Mesoderm,Reproductive,"p82,hAKAP82,AKAP82,Fsc1,CT99",A-kinase anchoring protein 4,,flag
Mm Hs,DRD2,0.0,0.0,0.0,0.0,0.001,Glomus cells,,,,dopamine receptor D2,Y,flag
Mm Hs,NOS1,0.004,0.0,0.0,0.0,0.004,Glomus cells,,,nNOS,nitric oxide synthase 1,,flag
Mm Hs,PHOX2B,0.002,0.0,0.0,0.0,0.002,Glomus cells,,,"Phox2b,NBPhox,PMX2B",paired like homeobox 2b,Y,flag
Mm Hs,TH,0.002,0.0,0.0,0.002,0.0,Glomus cells,,,DYT5b,tyrosine hydroxylase,Y,flag
